---------------------------- PROCESS STARTED (19913) for package com.progetto.tesi ----------------------------
2022-12-01 09:09:26.994 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 358 Pitch 2 Roll 357
2022-12-01 09:09:26.994 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:27.047 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 2 Roll 357
2022-12-01 09:09:27.047 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:27.078 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 3 Roll 357
2022-12-01 09:09:27.078 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:27.084 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 359 Pitch 2 Roll 357
2022-12-01 09:09:27.084 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:27.194 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 0 Pitch 2 Roll 357
2022-12-01 09:09:27.194 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:28.524 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 1 Pitch 2 Roll 357
2022-12-01 09:09:28.525 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Texts:  Azimuth NORTH Pitch EAST Roll NORTH
2022-12-01 09:09:28.681 19913-19913 System.out              com.progetto.tesi                    I  SensorListener: Numbers:  Azimuth 2 Pitch 2 Roll 357
